seed,sigma,correlation,estimator,corr_theta,spear_theta,corr_beta,spear_beta,corr_X_missing,rmse_theta,rmse_beta,rmse_X
31,0.5,theta,EM,0.981564,0.995178,0.989065,0.981739,0.914987,0.509285,0.53163,0.654261
31,0.5,theta,Day,0.981564,0.995289,0.611832,0.575024,0.464814,0.509286,1.449883,1.308977
31,0.5,theta,Imp,0.969806,0.995984,0.944466,0.93913,0.903149,0.419399,0.597945,0.801595
32,0.5,theta,EM,0.980971,0.993025,0.988984,0.983257,0.931646,0.829618,0.703392,0.741579
32,0.5,theta,Day,0.980971,0.993025,0.448378,0.405465,0.483801,0.829619,1.897022,1.604535
32,0.5,theta,Imp,0.967682,0.994358,0.935559,0.93977,0.905984,0.638846,0.761041,0.892954
33,0.5,theta,EM,0.978782,0.995316,0.975518,0.990435,0.865221,0.638399,0.710971,0.698659
33,0.5,theta,Day,0.978782,0.995316,0.752338,0.77407,0.355778,0.6384,1.412975,1.227693
33,0.5,theta,Imp,0.96872,0.995316,0.950333,0.968696,0.870919,0.456908,0.645142,0.778531
34,0.5,theta,EM,0.969571,0.995067,0.980219,0.991304,0.904567,0.608196,0.478232,0.650876
34,0.5,theta,Day,0.969571,0.994858,0.516195,0.501303,0.4768,0.608197,1.551409,1.41299
34,0.5,theta,Imp,0.959026,0.996137,0.92995,0.943889,0.887873,0.47646,0.67358,0.810917
35,0.5,theta,EM,0.985938,0.995567,0.977289,0.982609,0.914,0.654922,0.705972,0.705406
35,0.5,theta,Day,0.985938,0.995234,0.456115,0.331744,0.624855,0.654922,1.607677,1.33866
35,0.5,theta,Imp,0.979954,0.996901,0.88292,0.84087,0.888786,0.513585,0.838076,0.914588
36,0.5,theta,EM,0.969112,0.991509,0.979606,0.97913,0.902118,0.579069,0.537608,0.667664
36,0.5,theta,Day,0.969112,0.991911,0.378988,0.353861,0.425931,0.57907,1.62106,1.446781
36,0.5,theta,Imp,0.968564,0.992147,0.923513,0.908696,0.894049,0.443547,0.670261,0.798462
37,0.5,theta,EM,0.985511,0.995887,0.984569,0.988696,0.931189,0.622505,0.569156,0.636212
37,0.5,theta,Day,0.985511,0.995733,0.474089,0.398093,0.608715,0.622506,1.546316,1.317822
37,0.5,theta,Imp,0.978517,0.995858,0.910095,0.881253,0.896702,0.481427,0.72722,0.841378
